"","participant","figure2","agegroup","textbox_comp.text","Type","Time","total_ss_answer","label2","type","accurate"
"10761","508691","resources/real_fg_memory_images/orig32.jpg","Older",8,"real","Pre",27,"None",NA,NA
"10762","508691","resources/real_fg_memory_images/orig32.jpg","Older",7,"real","Post",27,"None",NA,NA
"10763","508691","resources/real_fg_memory_images/orig33.jpg","Older",6,"real","Pre",27,"None",NA,NA
"10764","508691","resources/real_fg_memory_images/orig33.jpg","Older",7,"real","Post",27,"None",NA,NA
"10765","508691","resources/real_fg_memory_images/orig34.jpg","Older",7,"real","Pre",27,"None",NA,NA
"10766","508691","resources/real_fg_memory_images/orig34.jpg","Older",6,"real","Post",27,"None",NA,NA
"10767","508691","resources/real_fg_memory_images/orig35.jpg","Older",5,"real","Pre",27,"None",NA,NA
"10768","508691","resources/real_fg_memory_images/orig35.jpg","Older",4,"real","Post",27,"None",NA,NA
"10769","508691","resources/real_fg_memory_images/orig36.jpg","Older",8,"real","Pre",27,"None",NA,NA
"10770","508691","resources/real_fg_memory_images/orig36.jpg","Older",8,"real","Post",27,"None",NA,NA
"10771","509472","resources/real_fg_memory_images/fg19.jpg","Older",9,"artificial","Post",30,"Neutral","artificial",1
"10772","509472","resources/real_fg_memory_images/fg19.jpg","Older",4,"artificial","Pre",30,"Neutral","artificial",1
"10773","509472","resources/real_fg_memory_images/fg20.jpg","Older",8,"artificial","Pre",30,"Neutral","artificial",0
"10774","509472","resources/real_fg_memory_images/fg20.jpg","Older",9,"artificial","Post",30,"Neutral","artificial",0
"10775","509472","resources/real_fg_memory_images/fg21.jpg","Older",6,"artificial","Pre",30,"Neutral","artificial",0
"10776","509472","resources/real_fg_memory_images/fg21.jpg","Older",7,"artificial","Post",30,"Neutral","artificial",0
"10777","509472","resources/real_fg_memory_images/fg22.jpg","Older",2,"artificial","Post",30,"Neutral","artificial",0
"10778","509472","resources/real_fg_memory_images/fg22.jpg","Older",1,"artificial","Pre",30,"Neutral","artificial",0
"10779","509472","resources/real_fg_memory_images/fg23.jpg","Older",8,"artificial","Post",30,"Neutral","artificial",1
"10780","509472","resources/real_fg_memory_images/fg23.jpg","Older",7,"artificial","Pre",30,"Neutral","artificial",1
"10781","509472","resources/real_fg_memory_images/fg24.jpg","Older",9,"artificial","Post",30,"Neutral","artificial",1
"10782","509472","resources/real_fg_memory_images/fg24.jpg","Older",6,"artificial","Pre",30,"Neutral","artificial",1
"10783","509472","resources/real_fg_memory_images/fg25.jpg","Older",6,"artificial","Pre",30,"Scam","artificial",0
"10784","509472","resources/real_fg_memory_images/fg25.jpg","Older",8,"artificial","Post",30,"Scam","artificial",0
"10785","509472","resources/real_fg_memory_images/fg26.jpg","Older",9,"artificial","Post",30,"Scam","artificial",0
"10786","509472","resources/real_fg_memory_images/fg26.jpg","Older",5,"artificial","Pre",30,"Scam","artificial",0
"10787","509472","resources/real_fg_memory_images/fg27.jpg","Older",8,"artificial","Post",30,"Scam","artificial",0
"10788","509472","resources/real_fg_memory_images/fg27.jpg","Older",2,"artificial","Pre",30,"Scam","artificial",0
"10789","509472","resources/real_fg_memory_images/fg28.jpg","Older",10,"artificial","Post",30,"Scam","artificial",0
"10790","509472","resources/real_fg_memory_images/fg28.jpg","Older",9,"artificial","Pre",30,"Scam","artificial",0
"10791","509472","resources/real_fg_memory_images/fg29.jpg","Older",9,"artificial","Post",30,"Scam","artificial",0
"10792","509472","resources/real_fg_memory_images/fg29.jpg","Older",5,"artificial","Pre",30,"Scam","artificial",0
"10793","509472","resources/real_fg_memory_images/fg30.jpg","Older",8,"artificial","Pre",30,"Scam","artificial",0
"10794","509472","resources/real_fg_memory_images/fg30.jpg","Older",9,"artificial","Post",30,"Scam","artificial",0
"10795","509472","resources/real_fg_memory_images/fg31.jpg","Older",2,"artificial","Pre",30,"None",NA,NA
"10796","509472","resources/real_fg_memory_images/fg31.jpg","Older",3,"artificial","Post",30,"None",NA,NA
"10797","509472","resources/real_fg_memory_images/fg32.jpg","Older",9,"artificial","Pre",30,"None",NA,NA
"10798","509472","resources/real_fg_memory_images/fg32.jpg","Older",8,"artificial","Post",30,"None",NA,NA
"10799","509472","resources/real_fg_memory_images/fg33.jpg","Older",6,"artificial","Post",30,"None",NA,NA
"10800","509472","resources/real_fg_memory_images/fg33.jpg","Older",7,"artificial","Pre",30,"None",NA,NA
"10801","509472","resources/real_fg_memory_images/fg34.jpg","Older",6,"artificial","Pre",30,"None",NA,NA
"10802","509472","resources/real_fg_memory_images/fg34.jpg","Older",9,"artificial","Post",30,"None",NA,NA
"10803","509472","resources/real_fg_memory_images/fg35.jpg","Older",4,"artificial","Pre",30,"None",NA,NA
"10804","509472","resources/real_fg_memory_images/fg35.jpg","Older",6,"artificial","Post",30,"None",NA,NA
"10805","509472","resources/real_fg_memory_images/fg36.jpg","Older",6,"artificial","Pre",30,"None",NA,NA
"10806","509472","resources/real_fg_memory_images/fg36.jpg","Older",9,"artificial","Post",30,"None",NA,NA
"10807","509472","resources/real_fg_memory_images/orig1.jpg","Older",5,"real","Post",30,"Neutral","real",0
"10808","509472","resources/real_fg_memory_images/orig1.jpg","Older",4,"real","Pre",30,"Neutral","real",0
"10809","509472","resources/real_fg_memory_images/orig10.jpg","Older",5,"real","Post",30,"Scam","real",1
"10810","509472","resources/real_fg_memory_images/orig10.jpg","Older",2,"real","Pre",30,"Scam","real",1
"10811","509472","resources/real_fg_memory_images/orig11.jpg","Older",8,"real","Post",30,"Scam","real",0
"10812","509472","resources/real_fg_memory_images/orig11.jpg","Older",8,"real","Pre",30,"Scam","real",0
"10813","509472","resources/real_fg_memory_images/orig12.jpg","Older",3,"real","Pre",30,"Scam","real",1
"10814","509472","resources/real_fg_memory_images/orig12.jpg","Older",3,"real","Post",30,"Scam","real",1
"10815","509472","resources/real_fg_memory_images/orig13.jpg","Older",8,"real","Post",30,"None",NA,NA
"10816","509472","resources/real_fg_memory_images/orig13.jpg","Older",7,"real","Pre",30,"None",NA,NA
"10817","509472","resources/real_fg_memory_images/orig14.jpg","Older",6,"real","Pre",30,"None",NA,NA
"10818","509472","resources/real_fg_memory_images/orig14.jpg","Older",10,"real","Post",30,"None",NA,NA
"10819","509472","resources/real_fg_memory_images/orig15.jpg","Older",9,"real","Post",30,"None",NA,NA
"10820","509472","resources/real_fg_memory_images/orig15.jpg","Older",2,"real","Pre",30,"None",NA,NA
"10821","509472","resources/real_fg_memory_images/orig16.jpg","Older",4,"real","Pre",30,"None",NA,NA
"10822","509472","resources/real_fg_memory_images/orig16.jpg","Older",8,"real","Post",30,"None",NA,NA
"10823","509472","resources/real_fg_memory_images/orig17.jpg","Older",9,"real","Post",30,"None",NA,NA
"10824","509472","resources/real_fg_memory_images/orig17.jpg","Older",6,"real","Pre",30,"None",NA,NA
"10825","509472","resources/real_fg_memory_images/orig18.jpg","Older",9,"real","Pre",30,"None",NA,NA
"10826","509472","resources/real_fg_memory_images/orig18.jpg","Older",9,"real","Post",30,"None",NA,NA
"10827","509472","resources/real_fg_memory_images/orig2.jpg","Older",6,"real","Pre",30,"Neutral","real",1
"10828","509472","resources/real_fg_memory_images/orig2.jpg","Older",8,"real","Post",30,"Neutral","real",1
"10829","509472","resources/real_fg_memory_images/orig3.jpg","Older",3,"real","Post",30,"Neutral","real",0
"10830","509472","resources/real_fg_memory_images/orig3.jpg","Older",2,"real","Pre",30,"Neutral","real",0
"10831","509472","resources/real_fg_memory_images/orig4.jpg","Older",8,"real","Post",30,"Neutral","real",0
"10832","509472","resources/real_fg_memory_images/orig4.jpg","Older",7,"real","Pre",30,"Neutral","real",0
"10833","509472","resources/real_fg_memory_images/orig5.jpg","Older",4,"real","Pre",30,"Neutral","real",0
"10834","509472","resources/real_fg_memory_images/orig5.jpg","Older",2,"real","Post",30,"Neutral","real",0
"10835","509472","resources/real_fg_memory_images/orig6.jpg","Older",7,"real","Post",30,"Neutral","real",0
"10836","509472","resources/real_fg_memory_images/orig6.jpg","Older",5,"real","Pre",30,"Neutral","real",0
"10837","509472","resources/real_fg_memory_images/orig7.jpg","Older",6,"real","Pre",30,"Scam","real",1
"10838","509472","resources/real_fg_memory_images/orig7.jpg","Older",8,"real","Post",30,"Scam","real",1
"10839","509472","resources/real_fg_memory_images/orig8.jpg","Older",1,"real","Pre",30,"Scam","real",1
"10840","509472","resources/real_fg_memory_images/orig8.jpg","Older",1,"real","Post",30,"Scam","real",1
"10841","509472","resources/real_fg_memory_images/orig9.jpg","Older",4,"real","Post",30,"Scam","real",1
"10842","509472","resources/real_fg_memory_images/orig9.jpg","Older",3,"real","Pre",30,"Scam","real",1
"10843","523872","resources/real_fg_memory_images/fg1.jpg","Older",7,"artificial","Pre",22,"Scam","artificial",1
"10844","523872","resources/real_fg_memory_images/fg1.jpg","Older",8,"artificial","Post",22,"Scam","artificial",1
"10845","523872","resources/real_fg_memory_images/fg10.jpg","Older",8,"artificial","Post",22,"Neutral","artificial",0
"10846","523872","resources/real_fg_memory_images/fg10.jpg","Older",7,"artificial","Pre",22,"Neutral","artificial",0
"10847","523872","resources/real_fg_memory_images/fg11.jpg","Older",6,"artificial","Post",22,"Neutral","artificial",0
"10848","523872","resources/real_fg_memory_images/fg11.jpg","Older",7,"artificial","Pre",22,"Neutral","artificial",0
"10849","523872","resources/real_fg_memory_images/fg12.jpg","Older",8,"artificial","Post",22,"Neutral","artificial",0
"10850","523872","resources/real_fg_memory_images/fg12.jpg","Older",7,"artificial","Pre",22,"Neutral","artificial",0
"10851","523872","resources/real_fg_memory_images/fg13.jpg","Older",7,"artificial","Pre",22,"None",NA,NA
"10852","523872","resources/real_fg_memory_images/fg13.jpg","Older",7,"artificial","Post",22,"None",NA,NA
"10853","523872","resources/real_fg_memory_images/fg14.jpg","Older",8,"artificial","Post",22,"None",NA,NA
"10854","523872","resources/real_fg_memory_images/fg14.jpg","Older",4,"artificial","Pre",22,"None",NA,NA
