"","participant","figure2","label2","type","total_ss_answer","accurate","agegroup","total_ss_answer_c"
"237","482395","resources/real_fg_memory_images/orig22.jpg","Scam","real",20,1,"Young",-5.63541666666667
"238","482395","resources/real_fg_memory_images/orig25.jpg","Neutral","real",20,1,"Young",-5.63541666666667
"239","482395","resources/real_fg_memory_images/orig21.jpg","Scam","real",20,1,"Young",-5.63541666666667
"240","482395","resources/real_fg_memory_images/fg10.jpg","Neutral","artificial",20,0,"Young",-5.63541666666667
"241","485618","resources/real_fg_memory_images/fg9.jpg","Neutral","artificial",31,1,"Young",5.36458333333333
"242","485618","resources/real_fg_memory_images/fg7.jpg","Neutral","artificial",31,1,"Young",5.36458333333333
"243","485618","resources/real_fg_memory_images/orig26.jpg","Neutral","real",31,1,"Young",5.36458333333333
"244","485618","resources/real_fg_memory_images/orig29.jpg","Neutral","real",31,1,"Young",5.36458333333333
"245","485618","resources/real_fg_memory_images/fg2.jpg","Scam","artificial",31,0,"Young",5.36458333333333
"246","485618","resources/real_fg_memory_images/orig28.jpg","Neutral","real",31,1,"Young",5.36458333333333
"247","485618","resources/real_fg_memory_images/orig19.jpg","Scam","real",31,1,"Young",5.36458333333333
"248","485618","resources/real_fg_memory_images/orig21.jpg","Scam","real",31,1,"Young",5.36458333333333
"249","485618","resources/real_fg_memory_images/orig20.jpg","Scam","real",31,1,"Young",5.36458333333333
"250","485618","resources/real_fg_memory_images/fg6.jpg","Scam","artificial",31,0,"Young",5.36458333333333
"251","485618","resources/real_fg_memory_images/fg3.jpg","Scam","artificial",31,1,"Young",5.36458333333333
"252","485618","resources/real_fg_memory_images/fg10.jpg","Neutral","artificial",31,0,"Young",5.36458333333333
"253","485618","resources/real_fg_memory_images/orig30.jpg","Neutral","real",31,1,"Young",5.36458333333333
"254","485618","resources/real_fg_memory_images/fg8.jpg","Neutral","artificial",31,1,"Young",5.36458333333333
"255","485618","resources/real_fg_memory_images/orig23.jpg","Scam","real",31,1,"Young",5.36458333333333
"256","485618","resources/real_fg_memory_images/fg11.jpg","Neutral","artificial",31,1,"Young",5.36458333333333
"257","485618","resources/real_fg_memory_images/fg4.jpg","Scam","artificial",31,1,"Young",5.36458333333333
"258","485618","resources/real_fg_memory_images/orig27.jpg","Neutral","real",31,1,"Young",5.36458333333333
"259","485618","resources/real_fg_memory_images/fg5.jpg","Scam","artificial",31,1,"Young",5.36458333333333
"260","485618","resources/real_fg_memory_images/fg1.jpg","Scam","artificial",31,1,"Young",5.36458333333333
"261","485618","resources/real_fg_memory_images/orig24.jpg","Scam","real",31,1,"Young",5.36458333333333
"262","485618","resources/real_fg_memory_images/orig22.jpg","Scam","real",31,1,"Young",5.36458333333333
"263","485618","resources/real_fg_memory_images/fg12.jpg","Neutral","artificial",31,1,"Young",5.36458333333333
"264","485618","resources/real_fg_memory_images/orig25.jpg","Neutral","real",31,1,"Young",5.36458333333333
"265","545017","resources/real_fg_memory_images/orig24.jpg","Scam","real",30,0,"Young",4.36458333333333
"266","545017","resources/real_fg_memory_images/orig21.jpg","Scam","real",30,0,"Young",4.36458333333333
"267","545017","resources/real_fg_memory_images/fg2.jpg","Scam","artificial",30,1,"Young",4.36458333333333
"268","545017","resources/real_fg_memory_images/fg3.jpg","Scam","artificial",30,1,"Young",4.36458333333333
"269","545017","resources/real_fg_memory_images/fg5.jpg","Scam","artificial",30,1,"Young",4.36458333333333
"270","545017","resources/real_fg_memory_images/orig29.jpg","Neutral","real",30,1,"Young",4.36458333333333
