participant,figure2,agegroup,textbox_comp.text,Type,Time,total_ss_answer.x,label2,type,total_ss_answer.y,accurate
232451,resources/real_fg_memory_images/fg2.jpg,Young,5,artificial,Post,26,Neutral,artificial,26,0
232451,resources/real_fg_memory_images/fg7.jpg,Young,6,artificial,Post,26,Scam,artificial,26,0
232451,resources/real_fg_memory_images/fg7.jpg,Young,4,artificial,Pre,26,Scam,artificial,26,0
232451,resources/real_fg_memory_images/orig24.jpg,Young,5,real,Pre,26,Neutral,real,26,0
232451,resources/real_fg_memory_images/orig24.jpg,Young,5,real,Post,26,Neutral,real,26,0
232451,resources/real_fg_memory_images/orig25.jpg,Young,7,real,Post,26,Scam,real,26,0
232451,resources/real_fg_memory_images/orig25.jpg,Young,7,real,Pre,26,Scam,real,26,0
232451,resources/real_fg_memory_images/orig28.jpg,Young,8,real,Post,26,Scam,real,26,0
232451,resources/real_fg_memory_images/orig28.jpg,Young,9,real,Pre,26,Scam,real,26,0
234755,resources/real_fg_memory_images/fg24.jpg,Young,2,artificial,Pre,28,Neutral,artificial,28,0
234755,resources/real_fg_memory_images/fg24.jpg,Young,6,artificial,Post,28,Neutral,artificial,28,0
234755,resources/real_fg_memory_images/fg25.jpg,Young,3,artificial,Pre,28,Scam,artificial,28,0
234755,resources/real_fg_memory_images/fg25.jpg,Young,3,artificial,Post,28,Scam,artificial,28,0
234755,resources/real_fg_memory_images/fg26.jpg,Young,3,artificial,Pre,28,Scam,artificial,28,0
234755,resources/real_fg_memory_images/fg26.jpg,Young,1,artificial,Post,28,Scam,artificial,28,0
234755,resources/real_fg_memory_images/fg28.jpg,Young,5,artificial,Post,28,Scam,artificial,28,0
234755,resources/real_fg_memory_images/fg28.jpg,Young,0,artificial,Pre,28,Scam,artificial,28,0
234755,resources/real_fg_memory_images/orig1.jpg,Young,2,real,Pre,28,Neutral,real,28,0
234755,resources/real_fg_memory_images/orig1.jpg,Young,1,real,Post,28,Neutral,real,28,0
234755,resources/real_fg_memory_images/orig12.jpg,Young,1,real,Pre,28,Scam,real,28,0
234755,resources/real_fg_memory_images/orig12.jpg,Young,1,real,Post,28,Scam,real,28,0
234755,resources/real_fg_memory_images/orig2.jpg,Young,2,real,Pre,28,Neutral,real,28,0
234755,resources/real_fg_memory_images/orig2.jpg,Young,1,real,Post,28,Neutral,real,28,0
234755,resources/real_fg_memory_images/orig3.jpg,Young,4,real,Post,28,Neutral,real,28,0
234755,resources/real_fg_memory_images/orig3.jpg,Young,5,real,Pre,28,Neutral,real,28,0
234755,resources/real_fg_memory_images/orig9.jpg,Young,4,real,Post,28,Scam,real,28,0
234755,resources/real_fg_memory_images/orig9.jpg,Young,2,real,Pre,28,Scam,real,28,0
264972,resources/real_fg_memory_images/fg22.jpg,Young,4,artificial,Pre,22,Neutral,artificial,22,0
264972,resources/real_fg_memory_images/fg22.jpg,Young,2,artificial,Post,22,Neutral,artificial,22,0
