"","participant","label2","Time","Type","textbox_comp.text"
"497","425851","None","Post","artificial",3.33333333333333
"498","425851","None","Post","real",6.66666666666667
"499","425851","None","Pre","artificial",6.66666666666667
"500","425851","None","Pre","real",10
"501","425851","Scam","Post","artificial",3.33333333333333
"502","425851","Scam","Post","real",0
"503","425851","Scam","Pre","artificial",8.33333333333333
"504","425851","Scam","Pre","real",8.33333333333333
"505","431226","Neutral","Post","artificial",3.33333333333333
"506","431226","Neutral","Post","real",0
"507","431226","Neutral","Pre","artificial",5.66666666666667
"508","431226","Neutral","Pre","real",5.5
"509","431226","None","Post","artificial",0
"510","431226","None","Post","real",1.66666666666667
"511","431226","None","Pre","artificial",4.66666666666667
"512","431226","None","Pre","real",7.16666666666667
"513","431226","Scam","Post","artificial",0
"514","431226","Scam","Post","real",1
"515","431226","Scam","Pre","artificial",6.16666666666667
"516","431226","Scam","Pre","real",4
"517","444172","Neutral","Post","artificial",5.5
"518","444172","Neutral","Post","real",4.16666666666667
"519","444172","Neutral","Pre","artificial",6.5
"520","444172","Neutral","Pre","real",4.66666666666667
"521","444172","None","Post","artificial",4.83333333333333
"522","444172","None","Post","real",4.5
"523","444172","None","Pre","artificial",7
"524","444172","None","Pre","real",6.83333333333333
"525","444172","Scam","Post","artificial",5
"526","444172","Scam","Post","real",5
"527","444172","Scam","Pre","artificial",4.16666666666667
"528","444172","Scam","Pre","real",6.16666666666667
"529","452555","Neutral","Post","artificial",5
"530","452555","Neutral","Post","real",5.2
"531","452555","Neutral","Pre","artificial",6.5
"532","452555","Neutral","Pre","real",4.16666666666667
"533","452555","None","Post","artificial",5.33333333333333
"534","452555","None","Post","real",5
"535","452555","None","Pre","artificial",5.83333333333333
"536","452555","None","Pre","real",5.33333333333333
"537","452555","Scam","Post","artificial",4.83333333333333
"538","452555","Scam","Post","real",5
"539","452555","Scam","Pre","artificial",6
"540","452555","Scam","Pre","real",4.5
"541","461165","Neutral","Post","artificial",5
"542","461165","Neutral","Post","real",6.66666666666667
"543","461165","Neutral","Pre","artificial",5.83333333333333
"544","461165","Neutral","Pre","real",7
"545","461165","None","Post","artificial",7.66666666666667
"546","461165","None","Post","real",6.83333333333333
"547","461165","None","Pre","artificial",7.33333333333333
"548","461165","None","Pre","real",7
"549","461165","Scam","Post","artificial",6.16666666666667
"550","461165","Scam","Post","real",6.66666666666667
"551","461165","Scam","Pre","artificial",4.83333333333333
"552","461165","Scam","Pre","real",6
"553","463753","Neutral","Post","artificial",5.83333333333333
"554","463753","Neutral","Post","real",6.83333333333333
"555","463753","Neutral","Pre","artificial",6
"556","463753","Neutral","Pre","real",6.5
"557","463753","None","Post","artificial",6.66666666666667
"558","463753","None","Post","real",6.83333333333333
"559","463753","None","Pre","artificial",7
"560","463753","None","Pre","real",7.16666666666667
"561","463753","Scam","Post","artificial",6.33333333333333
"562","463753","Scam","Post","real",5.66666666666667
"563","463753","Scam","Pre","artificial",6.16666666666667
"564","463753","Scam","Pre","real",7.33333333333333
"565","467472","Neutral","Post","artificial",5.5
"566","467472","Neutral","Post","real",8.16666666666667
"567","467472","Neutral","Pre","artificial",5
"568","467472","Neutral","Pre","real",7
"569","467472","None","Post","artificial",5.66666666666667
"570","467472","None","Post","real",6.83333333333333
"571","467472","None","Pre","artificial",6.33333333333333
"572","467472","None","Pre","real",6.5
"573","467472","Scam","Post","artificial",4
"574","467472","Scam","Post","real",5.5
"575","467472","Scam","Pre","artificial",4.83333333333333
"576","467472","Scam","Pre","real",7.33333333333333
"577","485505","Neutral","Post","artificial",7.16666666666667
"578","485505","Neutral","Post","real",6.83333333333333
"579","485505","Neutral","Pre","artificial",3.16666666666667
"580","485505","Neutral","Pre","real",4.83333333333333
"581","485505","None","Post","artificial",6.66666666666667
"582","485505","None","Post","real",7
"583","485505","None","Pre","artificial",4.66666666666667
"584","485505","None","Pre","real",4.83333333333333
"585","485505","Scam","Post","artificial",6.83333333333333
"586","485505","Scam","Post","real",7.16666666666667
"587","485505","Scam","Pre","artificial",4.33333333333333
"588","485505","Scam","Pre","real",3
"589","489782","Neutral","Post","artificial",5.5
"590","489782","Neutral","Post","real",6.83333333333333
"591","489782","Neutral","Pre","artificial",5.5
"592","489782","Neutral","Pre","real",4.83333333333333
"593","489782","None","Post","artificial",5.66666666666667
"594","489782","None","Post","real",6.83333333333333
"595","489782","None","Pre","artificial",5.5
"596","489782","None","Pre","real",5.66666666666667
"597","489782","Scam","Post","artificial",5.5
"598","489782","Scam","Post","real",5.5
"599","489782","Scam","Pre","artificial",4.83333333333333
"600","489782","Scam","Pre","real",4
"601","501069","Neutral","Post","artificial",6.16666666666667
"602","501069","Neutral","Post","real",5.33333333333333
"603","501069","Neutral","Pre","artificial",5.33333333333333
"604","501069","Neutral","Pre","real",6.66666666666667
"605","501069","None","Post","artificial",4
"606","501069","None","Post","real",5.16666666666667
"607","501069","None","Pre","artificial",1.16666666666667
"608","501069","None","Pre","real",5
"609","501069","Scam","Post","artificial",4.16666666666667
"610","501069","Scam","Post","real",5.5
"611","501069","Scam","Pre","artificial",2.16666666666667
"612","501069","Scam","Pre","real",5.83333333333333
"613","503785","Neutral","Post","artificial",4.16666666666667
"614","503785","Neutral","Post","real",7.5
"615","503785","Neutral","Pre","artificial",3.33333333333333
"616","503785","Neutral","Pre","real",6
"617","503785","None","Post","artificial",2
"618","503785","None","Post","real",7.33333333333333
"619","503785","None","Pre","artificial",3.16666666666667
